x_V,y_V,RA_V,Dec_V,V_mag,B_mag,B_minus_V,dist_pix,FWHM_V,FWHM_B,r_V,r_B,x_ast,y_ast,panel,pair,V_gaia_approx,B_minus_V_gaia_approx
"997,256","1538,47","294,351","46,5221","0,614774","-0,148707","-0,7634810000000001","0,8872705337157302","11,4603","11,883","0,879168","0,892744","997,256","1125,53",P01,P01_V + P01_B,"12,17516549609375","0,8903152713623048"
"2350,28","2171,0","294,47","46,3036","0,623489","0,28011","-0,3433789999999999","0,833546639366852","10,2813","10,9853","0,925011","0,897316","2350,28","493,0",P01,P01_V + P01_B,"12,18388049609375","1,310417271362305"
"2090,14","1354,43","294,29","46,3542","0,640972","-0,439138","-1,08011","1,104536101719006","11,4842","12,163","0,954024","0,941694","2090,14","1309,57",P01,P01_V + P01_B,"12,20136349609375","0,573686271362305"
"283,643","1258,88","294,301","46,6366","0,652613","-0,396731","-1,049344","1,058975448251927","10,4525","10,9169","0,889388","0,88673","283,643","1405,12",P01,P01_V + P01_B,"12,21300449609375","0,6044522713623048"
"3120,3","1874,04","294,389","46,1874","0,69517","-0,424043","-1,119213","1,151216747619438","9,94516","10,6936","0,887605","0,884769","3120,3","789,96",P01,P01_V + P01_B,"12,25556149609375","0,5345832713623049"
"390,964","1151,26","294,274","46,6212","0,709644","0,104196","-0,6054480000000001","0,9208018244986558","10,4884","11,175","0,891288","0,864241","390,964","1512,74",P01,P01_V + P01_B,"12,270035496093751","1,048348271362305"
"1445,71","1870,75","294,418","46,4482","0,731736","-0,33289","-1,064626","0,9745255255763516","11,32","11,9364","0,945346","0,928925","1445,71","793,25",P01,P01_V + P01_B,"12,29212749609375","0,5891702713623048"
"2424,41","917,979","294,186","46,3074","0,735667","-0,244014","-0,979681","1,1870673948855672","10,725","11,186","0,97627","0,981158","2424,41","1746,021",P01,P01_V + P01_B,"12,29605849609375","0,6741152713623049"
"1795,33","2113,88","294,467","46,3907","0,739559","0,161754","-0,5778049999999999","0,9158602513484112","10,7413","11,4127","0,973024","0,923132","1795,33","550,1199999999999",P01,P01_V + P01_B,"12,29995049609375","1,075991271362305"
"2227,49","277,71","294,045","46,3456","0,7483","0,0488627","-0,6994372999999999","1,2026986322434592","10,2432","10,513","0,945407","0,979233","2227,49","2386,29",P01,P01_V + P01_B,"12,30869149609375","0,954358971362305"
